event_id,candidate_price,predicted_demand,expected_revenue
E001,552.5,2.54,1401.23
E001,577.5,2.51,1451.08
E001,602.5,2.49,1500.01
E001,627.5,2.47,1548.03
E001,652.5,2.44,1595.17
E001,677.5,2.42,1641.46
E001,702.5,2.4,1686.91
E001,727.5,2.38,1731.56
E001,752.5,2.36,1775.42
E001,777.5,2.34,1818.51
E002,1062.5,0.8,848.42
E002,1087.5,0.8,864.58
E002,1112.5,0.79,880.6
E002,1137.5,0.79,896.48
E002,1162.5,0.78,912.23
E002,1187.5,0.78,927.84
E002,1212.5,0.78,943.32
E002,1237.5,0.77,958.67
E002,1262.5,0.77,973.89
E002,1287.5,0.77,988.99
E002,1312.5,0.76,1003.96
E002,1337.5,0.76,1018.81
E002,1362.5,0.76,1033.54
E002,1387.5,0.76,1048.14
E002,1412.5,0.75,1062.63
E002,1437.5,0.75,1077.01
E002,1462.5,0.75,1091.27
E002,1487.5,0.74,1105.42
E003,977.5,0.0,0.0
E003,1002.5,0.0,0.0
E003,1027.5,0.0,0.0
E003,1052.5,0.0,0.0
E003,1077.5,0.0,0.0
E003,1102.5,0.0,0.0
E003,1127.5,0.0,0.0
E003,1152.5,0.0,0.0
E003,1177.5,0.0,0.0
E003,1202.5,0.0,0.0
E003,1227.5,0.0,0.0
E003,1252.5,0.0,0.0
E003,1277.5,0.0,0.0
E003,1302.5,0.0,0.0
E003,1327.5,0.0,0.0
E003,1352.5,0.0,0.0
E003,1377.5,0.0,0.0
E004,850.0,8.21,6974.38
E004,875.0,8.2,7170.88
E004,900.0,8.19,7367.0
E004,925.0,8.18,7562.73
E004,950.0,8.17,7758.08
E004,975.0,8.16,7953.06
E004,1000.0,8.15,8147.67
E004,1025.0,8.14,8341.92
E004,1050.0,8.13,8535.82
E004,1075.0,8.12,8729.37
E004,1100.0,8.11,8922.59
E004,1125.0,8.1,9115.47
E004,1150.0,8.09,9308.02
E004,1175.0,8.09,9500.25
E004,1200.0,8.08,9692.17
E005,1020.0,0.67,688.45
E005,1045.0,0.67,698.75
E005,1070.0,0.66,708.8
E005,1095.0,0.66,718.61
E005,1120.0,0.65,728.17
E005,1145.0,0.64,737.48
E005,1170.0,0.64,746.57
E005,1195.0,0.63,755.41
E005,1220.0,0.63,764.03
E005,1245.0,0.62,772.42
E005,1270.0,0.61,780.59
E005,1295.0,0.61,788.54
E005,1320.0,0.6,796.28
E005,1345.0,0.6,803.8
E005,1370.0,0.59,811.11
E005,1395.0,0.59,818.21
E005,1420.0,0.58,825.12
E006,255.0,2.4,612.42
E006,280.0,2.37,663.08
E006,305.0,2.34,712.45
E006,330.0,2.3,760.6
E006,355.0,2.27,807.59
E007,977.5,5.06,4949.15
E007,1002.5,5.06,5069.42
E007,1027.5,5.05,5189.43
E007,1052.5,5.04,5309.2
E007,1077.5,5.04,5428.72
E007,1102.5,5.03,5548.0
E007,1127.5,5.03,5667.05
E007,1152.5,5.02,5785.86
E007,1177.5,5.01,5904.45
E007,1202.5,5.01,6022.81
E007,1227.5,5.0,6140.95
E007,1252.5,5.0,6258.87
E007,1277.5,4.99,6376.57
E007,1302.5,4.99,6494.06
E007,1327.5,4.98,6611.35
E007,1352.5,4.97,6728.43
E007,1377.5,4.97,6845.31
E008,680.0,3.24,2201.25
E008,705.0,3.23,2277.68
E008,730.0,3.22,2353.86
E008,755.0,3.22,2429.78
E008,780.0,3.21,2505.47
E008,805.0,3.21,2580.91
E008,830.0,3.2,2656.13
E008,855.0,3.19,2731.12
E008,880.0,3.19,2805.88
E008,905.0,3.18,2880.43
E008,930.0,3.18,2954.77
E008,955.0,3.17,3028.9
E009,425.0,0.64,271.4
E009,450.0,0.62,280.98
E009,475.0,0.61,290.0
E009,500.0,0.6,298.48
E009,525.0,0.58,306.44
E009,550.0,0.57,313.89
E009,575.0,0.56,320.87
E009,600.0,0.55,327.38
E010,850.0,1.66,1409.09
E010,875.0,1.65,1442.7
E010,900.0,1.64,1475.95
E010,925.0,1.63,1508.85
E010,950.0,1.62,1541.41
E010,975.0,1.61,1573.63
E010,1000.0,1.61,1605.52
E010,1025.0,1.6,1637.07
E010,1050.0,1.59,1668.31
E010,1075.0,1.58,1699.24
E010,1100.0,1.57,1729.85
E010,1125.0,1.56,1760.17
E010,1150.0,1.56,1790.18
E010,1175.0,1.55,1819.91
E010,1200.0,1.54,1849.34
